IT8.7/1
ORIGINATOR "LaserSoft Imaging AG"
DESCRIPTOR "Fuji Provia Professional Film, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "LaserSoft Imaging AG - http://www.silverfast.com"
CREATED "January 3, 2013"
PROD_DATE " 2013:01"
SERIAL "E130102 Batch Average Data"
MATERIAL "Fuji Provia Professional Film"
NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B
B15         65.04   68.33   48.41          86.17   -1.86    8.72
B16         50.48   53.22   45.14          78.00   -2.16   -1.51
B17         59.45   58.66   46.40          81.10    7.05    2.33
B18         55.86   62.35   47.41          83.10  -10.29    4.58
B19         52.29   54.64   54.60          78.83   -0.98  -10.79
B20         21.69   20.94   13.09          52.88    7.19   10.49
B21         19.47   18.18   10.70          49.71   10.09   12.07
B22         15.34   13.66    7.77          43.74   13.43   12.04
C1           7.31    7.10    4.13          32.03    4.64    9.13
C2           7.93    7.23    2.56          32.33    9.14   20.50
C3           8.45    7.27    1.47          32.43   13.34   31.30
C4          10.91    8.20    0.85          34.39   24.68   43.24
C5          26.58   25.86   14.49          57.90    6.91   15.41
C6          27.82   25.11    7.85          57.17   15.00   34.87
C7          29.77   25.40    3.91          57.46   21.30   54.27
C8          34.52   25.41    1.54          57.48   38.36   73.60
C9          43.45   43.70   33.16          72.02    3.94    4.17
C10         44.23   43.59   28.82          71.95    6.53   10.79
C11         45.17   44.04   24.57          72.26    7.93   18.62
C12         46.71   43.06   13.69          71.59   15.15   41.13
C13         51.03   59.04   55.98          81.31  -14.98   -7.97
C14         56.72   52.09   54.07          77.34   16.67  -12.80
C15         63.36   66.95   40.40          85.48   -2.68   17.32
C16         38.70   40.97   35.44          70.15   -2.51   -2.37
C17         52.64   48.81   36.79          75.33   15.02    4.67
C18         47.81   56.58   39.13          79.95  -17.77    9.44
C19         41.25   42.95   50.37          71.52   -0.50  -18.76
C20         22.34   20.93   10.25          52.88   10.25   18.94
C21         18.99   17.31    7.25          48.65   12.25   22.55
C22         19.60   17.95    6.22          49.43   11.94   28.35
D1           4.85    5.04    2.88          26.86   -0.11    8.53
D2           4.70    5.02    1.80          26.78   -1.82   17.84
D3           4.71    5.05    1.09          26.87   -2.02   26.71
D4           6.09    6.70    1.04          31.12   -3.95   34.65
D5          19.71   20.74   11.42          52.66   -1.40   14.92
D6          19.37   20.48    5.99          52.37   -1.88   34.44
D7          19.16   20.68    3.11          52.59   -3.90   51.24
D8          21.72   23.97    2.01          56.06   -6.33   66.25
D9          48.46   50.55   29.85          76.41   -0.73   16.81
D10         47.39   50.33   17.71          76.27   -3.10   39.34
D11         45.84   48.53    8.90          75.15   -2.66   61.96
D12         44.87   49.46    3.85          75.73   -7.92   86.13
D13         45.45   54.95   54.69          79.01  -20.37  -10.57
D14         51.53   44.03   50.95          72.25   25.39  -18.16
D15         61.84   65.61   32.78          84.80   -3.26   26.76
D16         29.31   31.05   27.08          62.55   -2.36   -2.54
D17         45.97   39.59   27.64          69.18   23.48    7.95
D18         41.34   51.71   31.42          77.11  -24.26   15.55
D19         32.40   33.34   46.45          64.43    0.92  -26.47
D20         25.21   26.29   10.06          58.31   -0.53   28.93
D21         21.28   21.92    7.98          53.94    0.71   28.81
D22          8.13    9.20    3.03          36.37   -6.48   23.79
E1           6.48    7.21    4.16          32.29   -4.81    9.34
E2           5.71    7.17    2.74          32.19  -12.86   18.84
E3           5.21    7.12    1.65          32.07  -18.19   28.61
E4           5.88    9.32    1.47          36.59  -29.92   38.43
E5          27.49   31.07   18.71          62.56   -9.54   13.48
E6          24.69   30.36   11.46          61.96  -18.52   30.86
E7          21.42   29.10    6.05          60.87  -28.46   48.81
E8          18.23   28.78    3.07          60.59  -43.12   65.29
E9          47.25   51.04   37.81          76.70   -5.36    5.63
E10         44.77   50.12   30.19          76.14   -9.97   15.82
E11         42.58   50.13   24.81          76.15  -16.43   24.88
E12         32.58   43.62   10.54          71.98  -30.94   50.95
E13         40.38   51.06   53.49          76.71  -25.51  -13.25
E14         46.44   36.65   47.52          67.01   34.12  -23.28
E15         60.44   64.22   25.68          84.08   -3.43   37.01
E16         21.51   22.90   20.13          54.97   -2.66   -2.62
E17         39.75   31.54   19.53          62.97   31.80   12.42
E18         35.56   47.17   24.56          74.30  -30.63   22.14
E19         25.04   25.43   42.87          57.49    2.23  -34.08
E20         19.38   24.26   15.41          56.34  -18.92   10.40
E21         18.05   22.45   11.66          54.50  -17.84   17.38
E22          3.77    5.41    2.48          27.88  -19.44   13.47
F1           4.10    4.96    3.78          26.62   -9.20    1.93
F2           3.30    4.90    3.07          26.46  -20.74    6.44
F3           2.75    4.86    2.65          26.34  -29.72    9.38
F4           3.49    7.56    3.29          33.04  -46.07   16.23
F5          13.10   16.31   12.46          47.38  -16.12    2.77
F6          10.33   16.15   10.44          47.18  -34.84    8.52
F7           8.19   15.37    8.36          46.13  -48.01   13.89
F8          10.67   21.75   10.63          53.76  -60.60   19.27
F9          32.44   36.38   30.04          66.81   -9.15   -0.04
F10         28.55   35.75   27.51          66.33  -21.60    3.25
F11         25.59   35.49   25.52          66.13  -32.68    6.35
F12         17.12   30.58   17.78          62.15  -55.80   14.84
F13         35.85   47.41   52.37          74.45  -30.32  -15.94
F14         41.36   29.91   43.74          61.57   42.73  -28.13
F15         59.29   62.89   19.37          83.38   -3.15   47.96
F16         15.02   16.04   14.13          47.03   -2.62   -2.39
F17         33.80   24.42   12.75          56.51   40.05   17.69
F18         30.42   42.88   18.44          71.47  -36.65   29.44
F19         19.03   18.95   39.38          50.63    3.97  -41.44
F20          2.10    2.57    2.27          18.25   -7.97   -1.31
F21          1.54    1.93    1.53          15.10   -8.27    0.60
F22          1.37    1.69    1.74          13.77   -7.14   -3.95
G1           2.97    3.54    3.19          22.10   -7.59   -1.91
G2           2.52    3.38    3.29          21.51  -13.28   -3.63
G3           2.03    3.21    3.45          20.88  -20.93   -5.85
G4           2.75    5.16    5.88          27.19  -33.43   -8.43
G5          13.75   16.84   15.74          48.06  -14.91   -4.68
G6          11.11   16.51   16.99          47.63  -30.97   -8.40
G7           9.55   16.39   17.93          47.48  -42.25  -10.81
G8          11.94   22.08   24.35          54.12  -52.98  -12.28
G9          32.72   36.73   33.75          67.08   -9.30   -5.24
G10         28.82   35.74   34.40          66.32  -20.50   -7.49
G11         26.07   35.45   35.72          66.10  -30.52   -9.77
G12         17.49   29.90   32.87          61.57  -51.31  -13.43
G13         32.03   44.18   51.30          72.35  -34.51  -18.38
G14         36.76   24.43   40.04          56.52   50.01  -32.13
G15         58.47   61.67   14.42          82.74   -2.35   58.43
G16          9.99   10.71    9.47          39.08   -2.50   -2.25
G17         28.57   18.77    7.88          50.41   47.10   23.07
G18         26.12   38.99   13.79          68.74  -41.74   35.93
G19         14.36   13.89   36.05          44.07    6.13  -48.19
G20          3.65    6.18    9.72          29.86  -29.76  -18.97
G21          3.97    2.27    4.79          16.81   31.25  -20.88
G22          8.66    9.16    1.26          36.29   -1.47   40.60
H1           3.10    3.56    3.85          22.16   -5.51   -6.20
H2           2.74    3.42    4.87          21.64   -9.75  -12.96
H3           2.51    3.36    6.40          21.45  -13.17  -20.74
H4           3.87    5.64   13.07          28.49  -20.65  -31.51
H5          11.06   12.83   15.60          42.51   -9.24  -13.92
H6          10.08   12.90   19.65          42.62  -17.06  -22.91
H7           8.93   12.65   23.95          42.23  -24.77  -32.03
H8          11.88   18.42   36.59          50.00  -35.68  -38.72
H9          34.27   36.86   35.67          67.17   -4.30   -7.84
H10         33.05   36.85   38.87          67.16   -8.52  -12.25
H11         32.03   37.23   42.63          67.45  -13.38  -16.61
H12         24.76   33.02   46.97          64.18  -27.77  -27.53
H13         29.06   41.54   50.37          70.55  -37.80  -20.44
H14         33.03   20.39   36.76          52.27   55.61  -35.05
H15         57.91   60.58   10.82          82.15   -1.21   67.63
H16          6.28    6.69    5.97          31.08   -1.77   -2.16
H17         24.15   14.47    4.63          44.90   52.70   28.38
H18         22.65   35.51   10.18          66.15  -45.57   42.07
H19         10.86   10.04   32.77          37.92    9.06  -54.04
H20          1.60    2.59    4.05          18.31  -20.34  -14.06
H21          1.83    1.21    2.25          10.61   18.77  -14.31
H22          3.47    3.72    0.84          22.71   -1.77   23.33
I1           5.12    5.19    8.07          27.26    1.43  -17.55
I2           5.20    5.20   12.22          27.29    2.28  -31.18
I3           5.26    5.14   17.43          27.12    3.76  -44.76
I4           7.55    8.43   30.70          34.86   -5.24  -56.17
I5          16.12   16.40   19.51          47.50    1.78  -14.21
I6          15.93   16.33   24.46          47.40    1.11  -24.04
I7          15.83   16.04   28.85          47.03    2.16  -32.25
I8          13.16   14.46   36.69          44.88   -4.99  -47.69
I9          36.08   37.33   36.21          67.52    0.31   -7.99
I10         36.56   37.71   39.98          67.80    0.70  -12.61
I11         36.63   37.83   42.93          67.90    0.53  -16.21
I12         32.63   34.34   46.94          65.23   -1.68  -25.67
I13         26.89   39.50   49.57          69.11  -40.15  -22.03
I14         30.37   17.73   34.24          49.17   59.31  -36.83
I15         57.52   59.61    8.17          81.62    0.17   75.78
I16          3.75    3.99    3.47          23.64   -1.39   -1.18
I17         20.82   11.57    2.64          40.52   56.36   33.96
I18         18.30   30.42    5.74          62.02  -48.96   52.26
I19          8.51    7.49   29.96          32.90   11.85  -58.37
I20          0.70    1.01    1.46           9.06  -10.96   -8.96
I21          0.76    0.62    0.94           5.58    6.39   -7.74
I22          1.12    1.23    0.55          10.80   -2.21    8.32
J1           1.83    1.62    2.99          13.39    6.67  -15.55
J2           2.17    1.59    6.08          13.17   15.37  -33.53
J3           2.83    1.76   10.73          14.18   24.14  -49.31
J4           5.72    4.85   25.54          26.31   12.65  -62.35
J5          10.24    9.65   12.56          37.20    7.49  -15.08
J6          11.23    9.82   17.79          37.52   13.54  -27.67
J7          11.88    9.74   22.24          37.36   18.80  -37.18
J8          10.40    8.76   31.06          35.52   15.94  -55.58
J9          30.89   31.18   31.25          62.65    3.12   -9.10
J10         31.62   30.79   33.97          62.33    7.20  -13.74
J11         32.83   31.28   37.81          62.74    9.75  -18.44
J12         32.73   30.15   44.66          61.78   13.54  -28.89
J13         25.43   38.05   48.96          68.06  -41.65  -23.14
J14         28.43   15.91   32.31          46.85   61.89  -37.95
J15         57.32   58.76    6.33          81.16    1.65   82.52
J16          2.12    2.23    1.91          16.64   -0.49   -0.75
J17         18.12    9.45    1.46          36.83   58.70   38.93
J18         18.31   30.45    5.73          62.03  -48.93   52.33
J19          6.91    5.72   27.47          28.70   14.96  -61.55
J20          3.19    1.80    0.43          14.42   29.41   16.75
J21          2.21    4.60    1.22          25.57  -37.16   22.60
J22          1.02    0.71    4.45           6.45   12.95  -36.88
K1           2.97    2.54    3.02          18.13    9.71   -7.55
K2           3.72    2.64    4.57          18.53   20.10  -16.73
K3           4.67    2.72    6.82          18.87   31.99  -27.03
K4          10.53    5.31   16.74          27.60   51.12  -42.35
K5           8.53    7.07    9.30          31.97   15.99  -13.88
K6          10.56    7.34   12.77          32.57   29.84  -23.64
K7          12.90    7.63   16.54          33.20   43.69  -32.21
K8          18.84   10.12   27.37          38.06   57.17  -45.24
K9          26.85   25.17   26.07          57.24   10.86   -9.96
K10         29.04   25.39   29.41          57.44   18.59  -15.17
K11         31.90   25.56   33.30          57.62   28.52  -20.88
K12         34.85   23.54   39.53          55.62   47.45  -33.02
K13         23.93   36.52   48.30          66.92  -43.15  -24.34
K14         26.42   14.14   30.16          44.43   64.28  -38.81
K15         57.10   57.70    4.65          80.57    3.65   89.82
K16          0.84    0.86    0.73           7.82    0.09   -0.39
K17         15.10    7.34    0.62          32.57   60.15   44.50
K18         16.42   27.83    3.99          59.74  -49.28   57.74
K19          5.41    4.09   24.54          23.98   19.11  -64.57
K20          1.51    0.99    0.42           8.92   17.71    7.42
K21          1.03    1.95    0.80          15.23  -24.58   11.20
K22          0.57    0.50    2.04           4.51    3.55  -22.89
L1           3.00    2.63    2.38          18.48    8.68   -1.86
L2           3.65    2.61    2.65          18.41   19.49   -4.23
L3           4.43    2.60    2.97          18.39   30.90   -6.77
L4          10.35    5.14    7.03          27.14   51.74  -13.65
L5           8.66    7.05    7.31          31.92   17.34   -6.54
L6          11.05    7.38    8.29          32.66   33.12   -9.10
L7          13.82    7.70    9.63          33.36   48.97  -12.67
L8          20.16   10.22   14.04          38.23   63.01  -17.33
L9          26.74   25.12   23.60          57.19   10.58   -5.58
L10         29.61   25.25   24.63          57.32   21.33   -7.26
L11         31.63   24.90   25.23          56.98   30.31   -8.92
L12         31.17   20.13   23.10          51.99   50.13  -13.62
L13         23.12   35.67   47.86          66.26  -43.92  -24.96
L14         25.28   13.20   28.92          43.06   65.49  -39.19
L15         56.83   56.94    3.90          80.14    4.84   93.49
L16          0.41    0.43    0.39           3.91   -0.26   -0.57
L17         13.59    6.40    0.37          30.39   60.23   45.38
L18         15.46   26.43    3.27          58.44  -49.18   60.14
L19          4.79    3.41   23.00          21.62   21.67  -65.80
L20          0.68    0.56    0.41           5.04    5.63    1.04
L21          0.53    0.82    0.55           7.45  -10.81    2.47
L22          0.36    0.38    0.88           3.45   -0.15  -10.53
GS0         67.14   69.87   59.23          86.93   -0.48   -1.61
GS1         63.34   66.43   55.89          85.22   -1.60   -1.14
GS2         57.97   61.00   51.06          82.38   -2.02   -0.82
GS3         49.77   52.55   44.65          77.61   -2.38   -1.59
GS4         44.68   47.21   40.48          74.32   -2.37   -2.02
GS5         38.90   41.23   35.66          70.34   -2.64   -2.37
GS6         33.97   36.20   31.64          66.67   -3.17   -2.77
GS7         29.39   31.27   27.43          62.74   -2.84   -2.80
GS8         25.31   26.90   23.83          58.88   -2.59   -3.10
GS9         21.15   22.66   20.17          54.72   -3.23   -3.11
GS10        17.74   19.10   17.14          50.80   -3.53   -3.28
GS11        14.90   16.03   14.43          47.01   -3.28   -3.20
GS12        11.88   12.80   11.67          42.46   -3.16   -3.39
GS13         9.70   10.51    9.57          38.73   -3.39   -3.17
GS14         7.87    8.54    7.88          35.07   -3.21   -3.35
GS15         5.77    6.27    5.86          30.09   -3.09   -3.36
GS16         4.40    4.82    4.51          26.21   -3.30   -3.10
GS17         3.41    3.74    3.53          22.80   -3.09   -3.02
GS18         2.34    2.55    2.41          18.15   -2.47   -2.68
GS19         1.61    1.78    1.74          14.27   -2.58   -3.05
GS20         1.05    1.19    1.19          10.46   -3.04   -3.03
GS21         0.56    0.62    0.64           5.61   -1.73   -2.47
GS22         0.37    0.42    0.43           3.76   -1.28   -1.73
GS23         0.26    0.29    0.31           2.64   -1.10   -1.40
END_DATA
